name,category,season,current_price,cost,discount_percent,rating,review_count,views,add_to_cart,sales_volume,stock_level,conversion_rate,margin_percent,commercial_success,competitive_price
Produs Garden 187,Garden,promo,57.14,33.88,5,4.0,273,2645,264,68,66,2.57,40.71,1,62.0
Produs Fashion 414,Fashion,normal,114.77,78.88,15,3.3,115,577,57,25,31,4.33,31.27,0,119.48
Produs Home 105,Home,offseason,107.63,73.12,0,4.3,359,3222,322,58,86,1.8,32.06,0,123.54
Produs Books 119,Books,normal,97.68,52.94,5,4.4,240,950,95,38,38,4.0,45.8,1,110.69
Produs Sports 243,Sports,offseason,74.3,49.48,10,4.3,225,205,20,5,7,2.43,33.4,0,84.71
Produs Automotive 409,Automotive,normal,95.44,59.65,0,4.0,50,2865,286,98,39,3.42,37.5,0,109.77
Produs Toys 39,Toys,offseason,61.55,30.84,5,4.9,42,3310,331,95,3,2.87,49.9,1,67.24
Produs Automotive 706,Automotive,promo,149.83,78.59,0,4.5,707,1250,125,33,35,2.64,47.55,1,173.14
Produs Automotive 275,Automotive,normal,80.28,56.36,15,3.8,20,333,33,11,79,3.3,29.8,0,90.89
Produs Automotive 197,Automotive,holiday,220.74,157.81,0,4.6,210,3582,358,48,39,1.34,28.51,0,259.72
Produs Sports 200,Sports,offseason,57.77,35.95,0,4.9,504,1273,127,48,68,3.77,37.77,1,65.43
Produs Health 81,Health,promo,76.05,46.3,0,4.3,48,1463,146,54,1,3.69,39.12,0,86.39
Produs Health 868,Health,normal,44.32,28.39,0,3.9,25,6827,682,226,72,3.31,35.94,0,49.66
Produs Toys 1199,Toys,normal,103.71,52.98,0,3.8,500,467,46,21,57,4.49,48.92,0,117.72
Produs Fashion 232,Fashion,offseason,206.14,116.94,0,3.8,406,2500,250,95,51,3.8,43.27,1,224.94
Produs Fashion 732,Fashion,promo,82.93,36.67,30,4.1,309,438,43,17,38,3.88,55.78,0,92.69
Produs Health 1184,Health,holiday,65.48,36.07,10,4.8,2083,2123,212,62,42,2.92,44.91,1,69.87
Produs Toys 1019,Toys,holiday,180.91,112.45,20,3.3,127,296,29,13,34,4.39,37.84,0,195.8
Produs Health 877,Health,promo,40.04,20.02,5,4.3,703,181,18,6,61,3.31,50.01,1,44.2
Produs Home 214,Home,promo,93.56,64.22,25,4.3,51,5223,522,140,27,2.68,31.36,0,106.46
Produs Sports 1087,Sports,normal,55.14,36.56,0,4.8,650,3097,309,83,62,2.68,33.7,1,59.22
Produs Sports 283,Sports,holiday,82.53,58.9,0,3.0,1058,193,19,7,18,3.61,28.63,1,91.42
Produs Automotive 1016,Automotive,normal,98.28,63.39,0,4.3,123,30,3,1,34,3.31,35.5,0,105.78
Produs Health 424,Health,offseason,46.66,20.82,0,3.8,1353,4885,488,171,30,3.5,55.38,1,50.05
Produs Beauty 18,Beauty,promo,24.94,14.41,0,4.0,154,4533,453,204,78,4.5,42.24,0,26.37
Produs Home 392,Home,offseason,61.86,40.06,15,5.0,195,616,61,22,49,3.57,35.24,1,71.0
Produs Automotive 348,Automotive,offseason,89.29,61.16,5,4.6,23,226,22,8,41,3.53,31.5,0,95.0
Produs Toys 416,Toys,holiday,58.97,33.94,5,4.0,390,1148,114,61,4,5.31,42.44,1,71.48
Produs Garden 1092,Garden,offseason,125.04,82.03,0,3.9,289,756,75,14,49,1.85,34.4,0,141.38
Produs Garden 585,Garden,offseason,102.77,58.1,0,3.6,59,503,50,13,101,2.58,43.47,0,109.57
Produs Beauty 484,Beauty,offseason,75.82,40.02,15,3.8,335,1040,104,46,70,4.42,47.22,1,85.84
Produs Home 975,Home,normal,122.86,66.06,0,3.4,6454,1725,172,59,48,3.42,46.23,0,133.19
Produs Automotive 741,Automotive,offseason,79.28,50.26,0,4.7,238,716,71,26,57,3.63,36.61,0,87.85
Produs Garden 1151,Garden,normal,66.3,42.22,20,4.3,32,275,27,7,51,2.54,36.32,0,72.75
Produs Automotive 484,Automotive,promo,211.95,147.94,0,4.0,58,132,13,4,33,3.03,30.2,0,237.63
Produs Toys 363,Toys,promo,65.22,48.92,0,4.6,648,5561,556,203,56,3.65,25.0,1,76.56
Produs Sports 1104,Sports,holiday,104.78,68.46,15,4.4,693,565,56,13,83,2.3,34.66,0,113.8
Produs Fashion 183,Fashion,normal,107.33,65.8,5,3.8,342,1690,169,58,105,3.43,38.69,1,126.62
Produs Fashion 603,Fashion,promo,40.67,24.53,0,2.8,188,3779,377,79,46,2.09,39.69,0,43.21
Produs Garden 444,Garden,normal,132.07,77.08,0,3.7,216,539,53,15,60,2.78,41.64,0,142.99
Produs Beauty 888,Beauty,promo,63.47,36.93,0,4.2,466,18386,1838,695,67,3.78,41.82,1,73.72
Produs Health 529,Health,normal,42.85,22.44,0,4.1,281,2268,226,76,83,3.35,47.62,1,52.34
Produs Home 549,Home,promo,70.16,53.6,10,4.2,362,447,44,11,27,2.46,23.61,0,78.18
Produs Electronics 136,Electronics,promo,105.22,69.97,15,4.2,1201,3187,318,109,72,3.42,33.5,1,118.99
Produs Garden 318,Garden,promo,241.39,185.12,0,3.8,20,392,39,14,94,3.57,23.31,0,284.01
Produs Beauty 544,Beauty,promo,57.64,29.66,0,4.7,135,1072,107,49,25,4.57,48.55,0,64.83
Produs Toys 142,Toys,offseason,97.38,72.17,20,4.1,790,754,75,24,38,3.18,25.89,1,107.15
Produs Automotive 75,Automotive,offseason,97.94,67.08,5,4.4,157,176,17,4,98,2.27,31.51,0,118.56
Produs Home 108,Home,offseason,216.68,132.02,5,4.6,155,436,43,13,1,2.98,39.07,0,249.76
Produs Sports 671,Sports,holiday,58.54,40.44,0,4.2,164,935,93,36,28,3.85,30.92,0,63.19
Produs Electronics 701,Electronics,normal,258.64,165.84,20,4.0,36,1237,123,48,26,3.88,35.88,0,311.94
Produs Health 158,Health,holiday,231.45,150.03,0,4.5,112,2075,207,88,76,4.24,35.18,1,253.33
Produs Automotive 916,Automotive,offseason,28.75,18.07,0,3.9,159,1678,167,46,49,2.74,37.14,0,32.96
Produs Beauty 409,Beauty,offseason,81.92,48.05,15,4.4,150,3492,349,154,14,4.41,41.34,1,88.28
Produs Sports 1064,Sports,promo,124.09,76.27,0,4.8,147,108,10,3,121,2.76,38.54,0,143.69
Produs Electronics 430,Electronics,promo,207.93,155.18,5,4.8,208,585,58,22,24,3.76,25.37,0,251.0
Produs Home 424,Home,holiday,130.51,77.93,0,3.7,618,272,27,10,30,3.67,40.29,0,157.9
Produs Books 689,Books,promo,54.1,38.22,0,4.8,77,925,92,40,38,4.32,29.35,0,60.82
Produs Home 501,Home,holiday,158.31,80.61,10,4.6,1187,1406,140,27,1,1.92,49.08,1,186.19
Produs Health 476,Health,offseason,322.81,214.02,0,4.1,69,214,21,10,31,4.67,33.7,0,357.51
Produs Health 115,Health,normal,70.34,38.46,0,3.9,2,3228,322,134,62,4.15,45.32,0,82.32
Produs Garden 50,Garden,offseason,161.46,72.96,0,3.8,71,10038,1003,264,43,2.63,54.81,0,179.43
Produs Beauty 1071,Beauty,holiday,98.72,49.05,0,5.0,396,6752,675,262,95,3.88,50.31,1,112.07
Produs Toys 493,Toys,promo,188.32,87.93,0,3.7,121,1320,132,42,47,3.18,53.31,0,208.35
Produs Electronics 71,Electronics,holiday,160.69,115.38,0,3.5,107,418,41,18,67,4.3,28.2,0,163.07
Produs Sports 921,Sports,offseason,190.56,127.47,0,5.0,193,1587,158,37,26,2.33,33.11,0,218.25
Produs Garden 1148,Garden,offseason,156.88,82.27,10,3.6,28,809,80,25,20,3.09,47.56,0,174.93
Produs Garden 553,Garden,promo,109.47,63.42,0,3.8,578,3723,372,105,13,2.82,42.07,1,120.03
Produs Automotive 1158,Automotive,holiday,83.42,54.96,0,4.0,1157,1851,185,55,31,2.97,34.12,1,96.65
Produs Health 738,Health,promo,31.1,13.47,5,4.3,21,2754,275,111,62,4.03,56.69,1,35.21
Produs Beauty 820,Beauty,holiday,47.79,19.97,0,4.1,150,433,43,15,81,3.46,58.22,0,53.91
Produs Garden 237,Garden,promo,98.31,64.5,0,4.1,42,17100,1710,289,33,1.69,34.39,1,107.38
Produs Automotive 552,Automotive,normal,132.6,76.54,0,4.4,402,1808,180,53,54,2.93,42.28,1,147.48
Produs Books 703,Books,holiday,60.31,44.97,0,4.9,61,436,43,23,62,5.27,25.43,0,68.91
Produs Home 430,Home,holiday,100.12,79.44,0,3.4,59,118,11,3,33,2.54,20.66,0,110.13
Produs Toys 560,Toys,holiday,153.13,89.05,25,4.8,908,2431,243,62,12,2.55,41.85,1,172.67
Produs Automotive 891,Automotive,normal,140.1,84.42,0,4.5,12,1167,116,30,41,2.57,39.74,0,153.14
Produs Health 84,Health,normal,92.04,51.24,10,4.3,18,465,46,28,63,6.01,44.33,0,107.23
Produs Home 259,Home,promo,96.01,62.56,0,4.7,227,1460,146,52,1,3.56,34.84,0,106.16
Produs Electronics 745,Electronics,holiday,70.15,47.11,0,3.5,1334,4308,430,109,1,2.53,32.85,1,81.22
Produs Beauty 184,Beauty,promo,60.92,25.81,10,4.1,72,625,62,21,53,3.36,57.63,0,72.24
Produs Sports 844,Sports,offseason,177.5,114.29,5,4.1,1299,7489,748,179,97,2.39,35.61,1,203.42
Produs Health 286,Health,normal,79.78,53.01,0,4.0,563,1315,131,45,117,3.42,33.55,1,86.78
Produs Garden 1014,Garden,normal,62.89,38.53,0,4.2,30,418,41,16,61,3.82,38.74,0,69.43
Produs Electronics 150,Electronics,promo,142.19,113.1,0,4.6,167,2649,264,84,36,3.17,20.46,0,150.59
Produs Automotive 1080,Automotive,normal,132.87,108.95,0,3.9,29,2633,263,74,68,2.81,18.0,0,160.05
Produs Electronics 812,Electronics,normal,129.23,67.08,0,3.4,191,2905,290,104,32,3.58,48.09,0,141.35
Produs Sports 1101,Sports,normal,75.9,43.42,0,3.7,252,275,27,7,97,2.54,42.79,0,79.63
Produs Home 729,Home,normal,197.15,111.13,20,4.3,64,3451,345,127,37,3.68,43.63,1,213.14
Produs Books 374,Books,holiday,102.9,67.9,0,4.2,1024,15256,1525,624,48,4.09,34.01,1,119.23
Produs Home 396,Home,promo,205.19,152.93,10,5.0,252,1045,104,39,95,3.73,25.47,1,229.18
Produs Home 783,Home,holiday,503.3,249.69,0,4.3,334,489,48,17,25,3.47,50.39,0,535.37
Produs Beauty 531,Beauty,normal,53.08,31.66,0,3.9,54,1480,148,61,56,4.12,40.36,0,59.34
Produs Home 760,Home,holiday,67.37,44.62,30,4.2,1242,4166,416,100,45,2.4,33.77,1,76.11
Produs Sports 228,Sports,promo,249.15,138.2,0,4.0,17,2610,261,65,41,2.49,44.53,0,284.53
Produs Beauty 594,Beauty,holiday,215.96,105.22,0,3.9,228,798,79,31,60,3.88,51.28,0,266.72
Produs Health 680,Health,offseason,69.34,34.44,0,3.7,86,2872,287,135,37,4.7,50.33,0,74.65
Produs Sports 667,Sports,promo,158.03,115.47,5,4.4,28,899,89,25,61,2.78,26.93,0,162.25
Produs Automotive 328,Automotive,promo,252.88,125.61,0,4.4,117,3733,373,84,49,2.25,50.33,1,281.11
Produs Health 87,Health,normal,62.05,35.51,0,4.8,264,1922,192,84,49,4.37,42.77,1,68.48
Produs Electronics 1122,Electronics,offseason,599.38,360.29,10,3.4,269,4086,408,132,55,3.23,39.89,1,666.45
Produs Home 1019,Home,promo,91.64,49.81,0,3.9,668,1390,139,52,55,3.74,45.65,1,98.55
Produs Sports 1138,Sports,holiday,89.43,59.01,5,4.2,395,4651,465,100,62,2.15,34.01,1,106.74
Produs Health 1128,Health,normal,140.94,81.89,25,4.4,114,1771,177,62,68,3.5,41.9,1,140.94
Produs Beauty 835,Beauty,normal,72.66,43.97,0,4.7,143,756,75,36,53,4.76,39.49,0,90.75
Produs Fashion 727,Fashion,offseason,168.13,99.43,15,4.3,321,2825,282,76,77,2.69,40.86,1,200.14
Produs Automotive 265,Automotive,promo,48.57,35.25,20,3.6,110,698,69,25,40,3.58,27.43,0,63.81
Produs Automotive 1023,Automotive,normal,94.38,71.31,0,4.1,94,1907,190,33,51,1.73,24.44,0,108.01
Produs Home 228,Home,offseason,196.07,123.86,0,3.8,497,990,99,40,10,4.04,36.83,0,220.03
Produs Home 768,Home,holiday,173.72,107.25,20,3.7,648,915,91,39,33,4.26,38.26,1,205.7
Produs Sports 498,Sports,normal,134.44,79.35,25,4.3,54,369,36,10,39,2.71,40.98,0,137.07
Produs Fashion 811,Fashion,holiday,117.68,85.29,0,3.8,85,410,41,16,31,3.9,27.52,0,133.34
Produs Garden 329,Garden,normal,75.56,61.91,0,3.5,74,393,39,9,31,2.29,18.07,0,84.97
Produs Fashion 299,Fashion,normal,227.81,133.27,10,4.2,370,429,42,14,31,3.26,41.5,0,273.91
Produs Toys 846,Toys,normal,66.66,39.94,0,3.4,461,963,96,45,1,4.67,40.09,0,72.82
Produs Home 680,Home,promo,59.77,37.01,0,4.2,333,8449,844,278,53,3.29,38.08,1,68.8
Produs Electronics 374,Electronics,holiday,198.45,139.37,0,3.9,596,2827,282,67,76,2.37,29.77,0,222.85
Produs Electronics 625,Electronics,normal,73.87,33.41,20,4.1,575,2541,254,91,1,3.58,54.77,1,91.07
Produs Automotive 818,Automotive,offseason,119.74,61.15,0,4.5,442,1137,113,29,26,2.55,48.93,0,130.75
Produs Books 97,Books,offseason,34.75,17.72,0,3.8,489,2063,206,85,73,4.12,49.0,1,37.0
Produs Sports 184,Sports,holiday,86.29,52.85,20,5.0,272,760,76,19,1,2.5,38.75,1,96.28
Produs Fashion 1089,Fashion,normal,228.18,111.72,5,4.2,67,149,14,4,55,2.67,51.04,0,276.9
Produs Automotive 1180,Automotive,offseason,65.97,47.61,5,4.2,263,349,34,14,51,4.01,27.83,0,68.2
Produs Beauty 837,Beauty,normal,87.78,39.35,5,4.3,45,2973,297,124,74,4.17,55.17,1,88.56
Produs Toys 1189,Toys,promo,84.81,48.65,0,3.6,620,552,55,18,11,3.26,42.64,0,86.32
Produs Electronics 748,Electronics,holiday,145.18,97.95,0,3.9,401,1515,151,60,72,3.96,32.53,1,159.83
Produs Health 638,Health,normal,111.27,42.99,30,3.7,400,3669,366,102,41,2.78,61.36,1,125.28
Produs Health 746,Health,promo,56.77,35.03,0,4.7,781,2975,297,72,134,2.42,38.29,1,65.18
Produs Home 848,Home,normal,132.43,83.81,0,4.4,807,1017,101,29,69,2.85,36.71,0,154.05
Produs Automotive 220,Automotive,normal,154.8,110.67,0,4.7,377,8464,846,226,1,2.67,28.51,1,170.07
Produs Books 744,Books,normal,104.48,65.37,5,4.7,276,4602,460,197,70,4.28,37.43,1,113.41
Produs Toys 303,Toys,normal,230.13,119.37,0,4.8,811,1496,149,47,50,3.14,48.13,1,245.01
Produs Fashion 701,Fashion,normal,55.82,26.64,15,3.9,10,2214,221,91,29,4.11,52.27,1,61.33
Produs Fashion 900,Fashion,promo,156.77,95.05,0,3.9,31,378,37,11,1,2.91,39.37,0,175.08
Produs Books 246,Books,offseason,64.23,45.86,0,3.8,130,2377,237,92,36,3.87,28.6,0,73.62
Produs Toys 1093,Toys,holiday,52.47,23.63,0,4.2,2725,2780,278,104,34,3.74,54.97,1,57.51
Produs Toys 367,Toys,offseason,95.16,65.97,0,3.7,60,520,52,20,66,3.84,30.67,0,109.85
Produs Fashion 1032,Fashion,offseason,140.39,95.89,0,3.7,88,132,13,4,1,3.03,31.7,0,164.23
Produs Books 1119,Books,normal,25.11,18.27,20,4.2,618,3421,342,143,13,4.18,27.25,1,27.72
Produs Books 806,Books,normal,106.81,68.36,0,4.4,7741,1091,109,43,60,3.94,36.0,1,116.03
Produs Beauty 62,Beauty,promo,49.64,26.02,0,4.0,166,2197,219,80,1,3.64,47.59,0,53.37
Produs Electronics 648,Electronics,normal,184.41,118.34,0,4.3,681,726,72,26,78,3.58,35.83,1,206.89
Produs Electronics 20,Electronics,holiday,258.87,200.37,15,3.7,403,1260,126,46,76,3.65,22.6,1,298.8
Produs Sports 809,Sports,promo,76.09,47.43,15,4.0,12,5336,533,127,115,2.38,37.66,1,83.24
Produs Beauty 946,Beauty,promo,40.18,22.53,0,3.5,186,189,18,8,81,4.23,43.92,0,46.87
Produs Books 921,Books,holiday,42.44,22.76,25,4.6,2284,2644,264,133,57,5.03,46.36,1,48.74
Produs Sports 1123,Sports,normal,64.22,40.04,15,4.0,39,2875,287,90,23,3.13,37.65,1,70.18
Produs Health 1012,Health,offseason,67.59,43.75,0,3.9,132,825,82,36,75,4.36,35.27,0,84.35
Produs Fashion 392,Fashion,promo,397.67,217.13,0,3.8,167,650,65,21,54,3.23,45.4,0,425.78
Produs Sports 155,Sports,holiday,180.31,121.91,0,4.1,94,1546,154,58,106,3.75,32.39,0,198.08
Produs Books 728,Books,holiday,47.34,26.43,25,3.9,577,469,46,18,77,3.83,44.18,1,50.88
Produs Beauty 706,Beauty,normal,30.28,11.58,15,4.2,39,281,28,16,36,5.68,61.77,0,33.6
Produs Beauty 822,Beauty,normal,55.21,26.8,0,4.2,152,2130,213,95,45,4.46,51.45,0,55.66
Produs Sports 558,Sports,holiday,49.69,35.68,10,3.8,19,1490,149,48,58,3.22,28.19,0,54.33
Produs Fashion 1102,Fashion,offseason,148.34,91.45,0,3.1,249,1087,108,46,46,4.23,38.35,0,166.8
Produs Beauty 170,Beauty,holiday,65.15,38.14,5,4.4,62,5530,553,250,1,4.52,41.46,1,69.23
Produs Home 1168,Home,offseason,107.3,65.56,20,4.8,29,1045,104,37,65,3.54,38.9,1,120.85
Produs Beauty 169,Beauty,offseason,101.71,41.81,30,4.1,255,3812,381,146,43,3.83,58.89,1,128.5
Produs Health 974,Health,normal,84.87,51.43,30,4.1,1452,2259,225,80,42,3.54,39.4,1,93.08
Produs Garden 185,Garden,holiday,95.78,51.44,30,4.9,392,3905,390,107,69,2.74,46.29,1,113.4
Produs Beauty 742,Beauty,holiday,62.42,33.18,0,3.9,666,3757,375,124,1,3.3,46.85,1,74.58
Produs Toys 389,Toys,holiday,26.59,21.4,0,4.1,154,379,37,18,79,4.74,19.5,0,29.94
Produs Beauty 779,Beauty,normal,139.46,88.98,10,4.3,112,1707,170,62,105,3.63,36.2,1,156.24
Produs Health 327,Health,offseason,41.23,19.67,0,4.0,101,693,69,28,80,4.04,52.3,0,42.07
Produs Sports 565,Sports,offseason,32.45,21.49,30,3.4,50,539,53,13,37,2.41,33.76,0,38.75
Produs Fashion 967,Fashion,normal,83.65,39.77,0,4.1,92,555,55,15,114,2.7,52.46,0,101.05
Produs Books 619,Books,normal,28.03,17.28,20,5.0,804,718,71,27,1,3.76,38.36,1,30.69
Produs Books 1114,Books,holiday,62.08,34.42,0,4.3,689,619,61,27,36,4.36,44.56,1,75.29
Produs Sports 247,Sports,offseason,131.16,88.57,0,4.3,102,1897,189,63,43,3.32,32.47,0,146.3
Produs Home 290,Home,normal,219.1,128.41,0,3.8,830,623,62,22,86,3.53,41.39,0,233.76
Produs Fashion 973,Fashion,holiday,51.77,28.5,0,2.9,267,610,61,16,22,2.62,44.95,0,54.51
Produs Home 954,Home,promo,80.66,41.76,0,4.5,381,1020,102,20,93,1.96,48.23,0,96.42
Produs Automotive 393,Automotive,normal,62.67,41.49,0,4.0,195,198,19,6,29,3.03,33.79,0,72.64
Produs Fashion 646,Fashion,normal,131.35,63.4,10,4.2,71,2988,298,81,85,2.71,51.73,0,139.28
Produs Sports 11,Sports,promo,182.72,112.72,0,3.8,60,1989,198,73,38,3.67,38.31,0,207.44
Produs Beauty 1134,Beauty,holiday,120.18,73.74,15,4.4,63,3351,335,123,48,3.67,38.64,1,136.36
Produs Electronics 840,Electronics,holiday,135.11,88.65,20,4.0,89,3686,368,108,3,2.93,34.39,1,155.62
Produs Sports 463,Sports,normal,58.78,36.0,5,4.6,1427,1535,153,47,52,3.06,38.76,1,65.54
Produs Health 117,Health,promo,62.2,34.86,0,4.5,2341,4406,440,167,74,3.79,43.95,1,69.17
Produs Automotive 105,Automotive,promo,130.05,86.22,15,4.5,836,4835,483,88,63,1.82,33.7,1,141.66
Produs Beauty 235,Beauty,offseason,114.57,59.83,0,4.0,243,1102,110,42,58,3.81,47.78,0,135.6
Produs Home 258,Home,offseason,90.24,40.55,0,3.5,101,1629,162,65,31,3.99,55.06,0,101.2
Produs Home 1002,Home,offseason,70.62,46.16,10,3.6,624,6972,697,251,38,3.6,34.63,1,79.26
Produs Fashion 274,Fashion,normal,142.4,91.28,0,3.4,114,704,70,30,99,4.26,35.9,0,178.11
Produs Sports 381,Sports,holiday,195.0,86.15,0,4.6,92,1829,182,58,66,3.17,55.82,0,211.97
Produs Electronics 488,Electronics,normal,144.14,91.9,0,5.0,27,18580,1858,576,69,3.1,36.24,1,168.31
Produs Sports 718,Sports,offseason,149.9,103.39,0,4.2,499,1796,179,60,26,3.34,31.03,1,160.81
Produs Electronics 534,Electronics,offseason,343.52,178.53,10,4.5,37,1204,120,40,1,3.32,48.03,0,413.15
Produs Toys 403,Toys,holiday,68.44,43.9,5,4.4,331,1015,101,40,78,3.94,35.86,1,78.38
Produs Toys 407,Toys,normal,143.27,90.35,15,4.9,98,2222,222,66,46,2.97,36.94,1,169.31
Produs Books 82,Books,offseason,83.49,51.45,0,4.2,754,1037,103,50,85,4.82,38.37,1,87.12
Produs Fashion 561,Fashion,holiday,91.57,48.93,0,4.4,93,4565,456,142,47,3.11,46.57,0,105.14
Produs Beauty 984,Beauty,normal,41.75,23.06,0,4.5,607,4250,425,224,10,5.27,44.76,1,48.16
Produs Automotive 165,Automotive,promo,93.57,66.9,20,4.3,108,931,93,23,25,2.47,28.5,0,108.93
Produs Home 569,Home,offseason,165.49,100.82,0,4.2,257,352,35,10,25,2.84,39.08,0,184.41
Produs Sports 920,Sports,offseason,53.27,30.35,0,4.9,165,901,90,23,54,2.55,43.03,0,57.84
Produs Automotive 404,Automotive,holiday,104.38,54.85,0,3.4,805,595,59,20,58,3.36,47.45,1,114.11
Produs Automotive 756,Automotive,normal,44.19,28.25,0,4.3,549,2134,213,76,51,3.56,36.08,1,51.77
Produs Books 1092,Books,normal,40.98,28.94,0,4.6,855,2872,287,135,51,4.7,29.37,1,45.26
Produs Health 927,Health,offseason,88.47,46.36,0,4.5,81,328,32,11,43,3.35,47.6,0,99.9
Produs Books 715,Books,holiday,61.19,42.01,20,4.0,1934,817,81,34,48,4.16,31.34,0,71.32
Produs Electronics 201,Electronics,offseason,209.94,125.27,0,4.5,114,2636,263,58,79,2.2,40.33,0,218.11
Produs Automotive 973,Automotive,promo,119.92,89.11,0,4.0,2092,4631,463,132,89,2.85,25.69,1,128.42
Produs Beauty 1011,Beauty,normal,86.58,54.88,15,3.9,241,253,25,11,99,4.34,36.61,1,106.27
Produs Toys 1052,Toys,normal,165.9,125.92,0,4.6,96,1085,108,47,54,4.33,24.1,0,178.58
Produs Toys 639,Toys,offseason,174.76,80.95,5,3.7,1036,817,81,26,1,3.18,53.68,1,193.89
Produs Health 720,Health,offseason,75.87,43.81,0,4.7,179,135,13,7,44,5.17,42.25,0,84.63
Produs Health 362,Health,offseason,40.98,19.03,15,4.6,1189,331,33,13,38,3.92,53.57,0,45.81
Produs Health 718,Health,holiday,54.49,35.6,0,4.7,1864,701,70,34,91,4.85,34.66,1,63.96
Produs Automotive 919,Automotive,promo,82.61,49.46,0,4.4,571,2070,207,59,11,2.85,40.13,1,97.11
Produs Fashion 45,Fashion,offseason,155.15,69.29,5,3.3,103,1754,175,73,52,4.16,55.34,0,167.54
Produs Fashion 913,Fashion,normal,150.1,81.83,20,3.5,407,761,76,30,54,3.94,45.48,0,167.46
Produs Electronics 219,Electronics,holiday,121.55,59.37,25,4.5,848,2707,270,88,33,3.25,51.16,1,140.07
Produs Fashion 216,Fashion,holiday,328.24,204.49,0,4.9,323,491,49,20,1,4.07,37.7,0,345.76
Produs Toys 830,Toys,normal,36.64,22.74,0,4.5,553,962,96,46,51,4.78,37.95,1,39.97
Produs Home 178,Home,offseason,488.46,268.85,5,4.0,234,2219,221,93,84,4.19,44.96,1,583.71
Produs Home 1030,Home,normal,151.12,74.2,0,4.0,150,962,96,31,54,3.22,50.9,0,169.44
Produs Garden 1137,Garden,promo,111.16,88.44,25,3.7,117,1367,136,32,59,2.34,20.44,0,116.83
Produs Health 793,Health,promo,59.1,32.2,0,4.2,334,1445,144,48,22,3.32,45.51,0,67.52
Produs Automotive 1199,Automotive,promo,54.42,27.07,0,3.8,67,495,49,17,96,3.43,50.26,0,61.64
Produs Automotive 952,Automotive,normal,215.85,153.04,0,3.5,90,1500,150,45,53,3.0,29.1,0,226.17
Produs Books 1190,Books,normal,160.04,106.43,5,4.4,23,1428,142,49,7,3.43,33.5,0,186.08
Produs Automotive 791,Automotive,promo,175.42,110.64,20,4.1,316,6725,672,230,97,3.42,36.93,1,204.19
Produs Beauty 471,Beauty,promo,49.98,26.42,0,4.9,110,732,73,31,77,4.23,47.14,0,59.87
